model,temp,direct_acc,cot_acc,delta_pp,direct_mean_tokens,cot_mean_tokens
qwen25_14b,0.0,67.86,42.04,-25.83,716.0,293.5
qwen25_14b,0.7,59.42,46.7,-12.72,427.2,282.9
